1,63241,1,NULL,NULL
2,63258,1,NULL,NULL
3,63708,1,NULL,NULL
4,63202,2,NULL,NULL
5,63701,2,NULL,NULL
6,63203,3,NULL,NULL
7,63241,3,NULL,NULL
8,63242,3,NULL,NULL
9,63705,3,NULL,NULL
10,63204,4,NULL,NULL
11,63259,4,NULL,NULL
12,63205,5,NULL,NULL
13,63207,6,NULL,NULL
14,63208,7,NULL,NULL
15,63252,7,NULL,NULL
16,63707,7,NULL,NULL
17,63209,8,NULL,NULL
18,63214,8,NULL,NULL
19,63212,9,NULL,NULL
20,63214,10,NULL,NULL
21,63710,10,NULL,NULL
22,63215,11,NULL,NULL
23,63255,11,NULL,NULL
24,63216,12,NULL,NULL
25,63261,12,NULL,NULL
26,63217,13,NULL,NULL
27,63280,13,NULL,NULL
28,63283,13,NULL,NULL
29,63219,15,NULL,NULL
30,63218,14,NULL,NULL
31,63260,14,NULL,NULL
32,63220,16,NULL,NULL
33,63221,17,NULL,NULL
34,63222,18,NULL,NULL
35,63223,18,NULL,NULL
36,63224,18,NULL,NULL
37,63225,19,NULL,NULL
38,63226,20,NULL,NULL
39,63248,21,22,NULL
40,63250,23,NULL,NULL
41,63249,24,NULL,NULL
42,63251,25,NULL,NULL
43,63251,26,NULL,NULL
44,63254,27,NULL,NULL
45,63256,28,NULL,NULL
46,63277,28,NULL,NULL
47,63257,29,NULL,NULL
48,63262,29,NULL,NULL
49,63263,30,NULL,NULL
50,63266,30,NULL,NULL
51,63264,31,NULL,NULL
52,63706,31,NULL,NULL
53,63265,32,NULL,NULL
54,63278,32,NULL,NULL
55,63266,33,NULL,NULL
56,63279,33,NULL,NULL
57,63267,34,NULL,NULL
58,63268,35,NULL,NULL
59,63269,36,NULL,NULL
60,63270,37,NULL,NULL
61,63271,38,NULL,NULL
62,63281,39,NULL,NULL
63,63284,40,NULL,NULL
64,63701,41,NULL,NULL
65,63702,42,NULL,NULL
66,63703,43,NULL,NULL
67,63709,44,NULL,NULL